objectid,stn_name,stn_no,x,y,latitude,longitude,color,location
160,MARYMOUNT MRT STATION,CC16,28679.3688,36758.7136,1.348707263,103.8394214,YELLOW,POINT(103.8394214 1.348707263)
138,MATTAR MRT STATION,DT25,33556.5834,34344.8585,1.326876715,103.8832341,BLUE,POINT(103.8832341 1.326876715)
69,MERIDIAN LRT STATION,PE2,36416.7925,42089.0886,1.396912053,103.9089277,OTHERS,POINT(103.9089277 1.396912053)
118,MOUNTBATTEN MRT STATION,CC7,33476.5634,32058.7418,1.306201905,103.8825153,YELLOW,POINT(103.8825153 1.306201905)
133,NEWTON MRT STATION,DT11,28499.9628,32877.5173,1.313607102,103.8378098,BLUE,POINT(103.8378098 1.313607102)
191,NEWTON MRT STATION,NS21,28519.3616,32735.2072,1.3123201,103.8379841,RED,POINT(103.8379841 1.3123201)
52,NIBONG LRT STATION,PW5,35455.6286,43743.0854,1.411870458,103.9002935,OTHERS,POINT(103.9002935 1.411870458)
126,NICOLL HIGHWAY MRT STATION,CC5,31374.1708,31347.1516,1.299766835,103.8636292,YELLOW,POINT(103.8636292 1.299766835)
147,NOVENA MRT STATION,NS20,29169.3298,33633.1535,1.320440791,103.8438228,RED,POINT(103.8438228 1.320440791)
42,OASIS LRT STATION,PE6,36837.1178,42683.4018,1.402286677,103.9127036,OTHERS,POINT(103.9127036 1.402286677)
108,ONE-NORTH MRT STATION,CC23,22896.0731,31346.4085,1.299759879,103.7874693,YELLOW,POINT(103.7874693 1.299759879)
113,ORCHARD MRT STATION,NS22,27880.1256,31813.1134,1.303981012,103.8322417,RED,POINT(103.8322417 1.303981012)
188,OUTRAM PARK MRT STATION,EW16,28646.3739,29316.7727,1.279764543,103.8395732,GREEN,POINT(103.8395732 1.279764543)
156,OUTRAM PARK MRT STATION,NE3,28696.2602,29135.3820,1.28140498,103.839125,PURPLE,POINT(103.839125 1.28140498)
155,PASIR PANJANG MRT STATION,CC26,23329.2647,28742.7658,1.276213523,103.7913607,YELLOW,POINT(103.7913607 1.276213523)
14,PASIR RIS MRT STATION,EW1,40903.7716,39443.3983,1.372983774,103.9492348,GREEN,POINT(103.9492348 1.372983774)
152,PAYA LEBAR MRT STATION,CC9,34550.5756,33300.3402,1.317430268,103.8921633,YELLOW,POINT(103.8921633 1.317430268)
9,PAYA LEBAR MRT STATION,EW8,34648.6773,33375.7341,1.318112082,103.8930446,GREEN,POINT(103.8930446 1.318112082)
76,PENDING LRT STATION,BP8,21094.7812,39792.4936,1.376142883,103.7712881,OTHERS,POINT(103.7712881 1.376142883)
63,PETIR LRT STATION,BP7,20582.7273,39970.2513,1.377750334,103.7666882,OTHERS,POINT(103.7666882 1.377750334)
90,PHOENIX LRT STATION,BP5,19621.7772,40066.3155,1.378618844,103.7580559,OTHERS,POINT(103.7580559 1.378618844)
7,PIONEER MRT STATION,EW28,12864.9592,35529.4973,1.337586882,103.6973586,GREEN,POINT(103.6973586 1.337586882)
176,POTONG PASIR MRT STATION,NE10,31977.1677,34842.7289,1.331379525,103.869046,PURPLE,POINT(103.869046 1.331379525)
184,PROMENADE MRT STATION,CC4,31080.6082,30623.0174,1.293218051,103.8609921,YELLOW,POINT(103.8609921 1.293218051)
102,PROMENADE MRT STATION,DT15,31064.3414,30586.9146,1.292891552,103.860846,BLUE,POINT(103.860846 1.292891552)
50,PUNGGOL LRT STATION,PTC,35689.1390,43004.9202,1.405194701,103.9023911,OTHERS,POINT(103.9023911 1.405194701)
106,PUNGGOL MRT STATION,NE17,35651.3846,42933.2694,1.404546728,103.902052,PURPLE,POINT(103.902052 1.404546728)
71,PUNGGOL POINT LRT STATION,PW3,36160.8276,44293.5561,1.41684852,103.9066284,OTHERS,POINT(103.9066284 1.41684852)
21,QUEENSTOWN MRT STATION,EW19,24946.8083,30804.6785,1.294860933,103.8058913,GREEN,POINT(103.8058913 1.294860933)
186,RAFFLES PLACE MRT STATION,EW14,30019.1805,29617.6126,1.284125611,103.8514572,GREEN,POINT(103.8514572 1.284125611)
186,RAFFLES PLACE MRT STATION,NS26,30019.1805,29617.6126,1.284125611,103.8514572,RED,POINT(103.8514572 1.284125611)
89,RANGGUNG LRT STATION,SE5,35108.5942,40687.1255,1.384233561,103.897176,OTHERS,POINT(103.897176 1.384233561)
5,REDHILL MRT STATION,EW18,26163.4780,30218.8196,1.289562726,103.8168209,GREEN,POINT(103.8168209 1.289562726)
46,RENJONG LRT STATION,SW8,34367.9437,40962.4782,1.386723922,103.8905227,OTHERS,POINT(103.8905227 1.386723922)
60,RIVIERA LRT STATION,PE4,37219.8293,41825.1114,1.394524496,103.9161415,OTHERS,POINT(103.9161415 1.394524496)
167,ROCHOR MRT STATION,DT13,30126.0006,31805.9862,1.306800025,103.8496427,BLUE,POINT(103.8496427 1.306800025)
82,RUMBIA LRT STATION,SE2,36085.5526,41487.1568,1.391468497,103.9059522,OTHERS,POINT(103.9059522 1.391468497)
43,SAM KEE LRT STATION,PW1,35958.3967,43493.4470,1.409612685,103.9048099,OTHERS,POINT(103.9048099 1.409612685)
51,SAMUDERA LRT STATION,PW4,35660.6597,44188.8482,1.415901719,103.9021353,OTHERS,POINT(103.9021353 1.415901719)
91,SEGAR LRT STATION,BP11,20908.7670,41078.4025,1.387772131,103.7696171,OTHERS,POINT(103.7696171 1.387772131)
30,SEMBAWANG MRT STATION,NS11,26522.9883,47854.1998,1.449050821,103.8200504,RED,POINT(103.8200504 1.449050821)
92,SENGKANG LRT STATION,STC,34913.5879,41502.6997,1.391609364,103.8954243,OTHERS,POINT(103.8954243 1.391609364)
116,SENGKANG MRT STATION,NE16,34918.2740,41512.1277,1.391694626,103.8954664,PURPLE,POINT(103.8954664 1.391694626)
61,SENJA LRT STATION,BP13,20104.0139,40516.7226,1.382692296,103.7623879,OTHERS,POINT(103.7623879 1.382692296)
145,SERANGOON MRT STATION,CC13,32345.7724,36967.5123,1.350595256,103.8723572,YELLOW,POINT(103.8723572 1.350595256)
148,SERANGOON MRT STATION,NE12,32480.0726,36869.3924,1.349707875,103.8735637,PURPLE,POINT(103.8735637 1.349707875)
10,SIMEI MRT STATION,EW3,41360.6138,36150.3959,1.343202895,103.9533387,GREEN,POINT(103.9533387 1.343202895)
173,SIXTH AVENUE MRT STATION,DT7,23985.5297,34777.1434,1.330786387,103.7972561,BLUE,POINT(103.7972561 1.330786387)
112,SOMERSET MRT STATION,NS23,28640.6560,31401.6698,1.300260055,103.8390737,RED,POINT(103.8390737 1.300260055)
53,SOO TECK LRT STATION,PW7,35110.1988,42993.1699,1.405088585,103.8971904,OTHERS,POINT(103.8971904 1.405088585)
66,SOUTH VIEW LRT STATION,BP2,18203.7243,40252.0686,1.380298287,103.7453173,OTHERS,POINT(103.7453173 1.380298287)
110,STADIUM MRT STATION,CC6,32677.7526,31687.0547,1.30284063,103.8753395,YELLOW,POINT(103.8753395 1.30284063)
170,STEVENS MRT STATION,DT10,27188.2300,33591.6608,1.320065557,103.8260263,BLUE,POINT(103.8260263 1.320065557)
72,SUMANG LRT STATION,PW6,35260.2918,43365.1308,1.408452426,103.8985387,OTHERS,POINT(103.8985387 1.408452426)
166,TAI SENG MRT STATION,CC11,34107.1526,35291.0164,1.335433322,103.88818,YELLOW,POINT(103.88818 1.335433322)
96,TAMPINES EAST MRT STATION,DT33,41501.0749,37586.6178,1.356191483,103.9546005,BLUE,POINT(103.9546005 1.356191483)
142,TAMPINES MRT STATION,DT32,40213.0284,37463.3697,1.355077429,103.9430298,BLUE,POINT(103.9430298 1.355077429)
11,TAMPINES MRT STATION,EW2,40445.4297,37266.9909,1.353301356,103.9451175,GREEN,POINT(103.9451175 1.353301356)
97,TAMPINES WEST MRT STATION,DT31,39698.5276,36406.0143,1.345515305,103.938408,BLUE,POINT(103.938408 1.345515305)
134,TAN KAH KEE MRT STATION,DT8,25106.8667,34234.9609,1.325883209,103.8073292,BLUE,POINT(103.8073292 1.325883209)
40,TANAH MERAH MRT STATION,EW4,40578.8616,34379.4144,1.327187135,103.9463161,GREEN,POINT(103.9463161 1.327187135)
107,TANJONG PAGAR MRT STATION,EW15,29396.2311,28776.7576,1.276521247,103.8458611,GREEN,POINT(103.8458611 1.276521247)
77,TECK LEE LRT STATION,PW2,36152.6993,43842.6721,1.412770894,103.9065554,OTHERS,POINT(103.9065554 1.412770894)
64,TECK WHYE LRT STATION,BP4,19140.8000,39852.4608,1.376684679,103.7537352,OTHERS,POINT(103.7537352 1.376684679)
190,TELOK AYER MRT STATION,DT18,29667.6216,29414.5867,1.282289536,103.8482991,BLUE,POINT(103.8482991 1.282289536)
189,TELOK BLANGAH MRT STATION,CC28,25376.8469,28138.9667,1.270753211,103.8097544,YELLOW,POINT(103.8097544 1.270753211)
85,TEN MILE JUNCTION LRT STATION,BP14,19856.1189,40254.5250,1.380321008,103.760161,OTHERS,POINT(103.760161 1.380321008)
56,THANGGAM LRT STATION,SW4,32709.2689,42133.9003,1.397318155,103.8756226,OTHERS,POINT(103.8756226 1.397318155)
135,TIONG BAHRU MRT STATION,EW17,27298.9575,29846.2510,1.286193393,103.827021,GREEN,POINT(103.827021 1.286193393)
174,TOA PAYOH MRT STATION,NS19,29578.4408,34980.8638,1.332628987,103.8474979,RED,POINT(103.8474979 1.332628987)
74,TONGKANG LRT STATION,SW7,33845.4132,41252.6183,1.389347953,103.8858287,OTHERS,POINT(103.8858287 1.389347953)
25,TUAS CRESCENT MRT STATION,EW31,7495.5310,33698.6818,1.321026553,103.6491245,GREEN,POINT(103.6491245 1.321026553)
22,TUAS LINK MRT STATION,EW33,6138.3115,35848.0658,1.340463766,103.6369324,GREEN,POINT(103.6369324 1.340463766)
27,TUAS WEST ROAD MRT STATION,EW32,6442.6401,34689.7988,1.329989089,103.6396662,GREEN,POINT(103.6396662 1.329989089)
139,UBI MRT STATION,DT27,35337.7709,34685.4833,1.329956826,103.8992348,BLUE,POINT(103.8992348 1.329956826)
179,UPPER CHANGI MRT STATION,DT34,42262.0767,35988.4036,1.341737484,103.9614367,BLUE,POINT(103.9614367 1.341737484)
24,WOODLANDS MRT STATION,NS9,22788.1527,46507.9219,1.436875128,103.7864999,RED,POINT(103.7864999 1.436875128)
181,WOODLANDS MRT STATION,TE2,22949.0322,46418.5578,1.436066981,103.7879451,OTHERS,POINT(103.7879451 1.436066981)
193,WOODLANDS NORTH MRT STATION,TE1,22634.0348,47760.1730,1.4482,103.7851,OTHERS,POINT(103.7851 1.4482)
175,WOODLANDS SOUTH MRT STATION,TE3,23607.8309,45444.7113,1.427259979,103.7938631,OTHERS,POINT(103.7938631 1.427259979)
146,WOODLEIGH MRT STATION,NE11,32173.3186,35706.3794,1.339190046,103.8708081,PURPLE,POINT(103.8708081 1.339190046)
6,YEW TEE MRT STATION,NS5,18438.9791,42158.0124,1.397535018,103.7474307,RED,POINT(103.7474307 1.397535018)
41,YIO CHU KANG MRT STATION,NS15,29294.1283,40413.0820,1.381756046,103.8449439,RED,POINT(103.8449439 1.381756046)
13,YISHUN MRT STATION,NS13,28187.6787,45686.0701,1.429443081,103.8350045,RED,POINT(103.8350045 1.429443081)
